date,AAPL,GOOGL,MSFT,SPY,EEM,XLF,XLE
2017-10-31 00:00:00+00:00,163.9644218064,1033.04,80.4317390336,247.596630878,44.2845814319,25.5931449476,63.7817791232
2017-11-30 00:00:00+00:00,167.2912669281,1036.17,81.8009768733,255.1646243398,44.1123423511,26.4783213894,64.8994395142
2017-12-29 00:00:00+00:00,164.7407687067,1053.4,83.1324172715,258.2487334851,45.7748373507,26.977431289,68.3199866199
2018-01-31 00:00:00+00:00,162.9885180202,1182.22,92.3358775423,272.8034099133,49.5732162565,28.74628472,70.768765548
2018-02-28 00:00:00+00:00,174.0933533762,1103.92,91.5522618162,262.884165672,46.6491445158,27.9053544003,63.1009674372
2018-03-30 00:00:00+00:00,163.987103242,1037.14,89.1113888874,255.6770661645,46.9017221412,26.7453090333,64.1840022014
2018-04-30 00:00:00+00:00,161.5240712944,1018.58,91.3081745233,256.9984448838,45.5805468696,26.6288985478,70.2777214432
2018-05-31 00:00:00+00:00,183.3525376689,1100.0,96.9195521972,263.2458457405,44.3856604108,26.3669749555,72.3819588689
2018-06-29 00:00:00+00:00,181.6256662272,1129.19,96.694021066,264.7608709052,42.370969481,25.9063656731,72.805308552
2018-07-31 00:00:00+00:00,186.7081628566,1227.22,104.0188799785,274.5693593769,43.8671057217,27.2313997955,73.9365998885
2018-08-31 00:00:00+00:00,224.130941736,1231.8,110.5771472658,283.3335610163,42.2145107892,27.601629918,71.3672263446
2018-09-28 00:00:00+00:00,222.269994234,1207.08,112.5853140995,285.018910549,41.9700440832,26.9901206905,73.1097730617
2018-10-31 00:00:00+00:00,215.4957514753,1090.58,105.1432840689,265.3228803037,38.2932648252,25.7179250089,64.8277311701
2018-11-30 00:00:00+00:00,176.4505858243,1109.65,109.6379774977,270.2444368906,40.1707691272,26.3931673322,63.8141945749
2018-12-31 00:00:00+00:00,155.8590850483,1044.96,100.423206551,246.4801645555,38.7651792156,23.4587489506,55.8813041745
